time_s,background_centered_adc,without_centered_adc,with_centered_adc,background_filtered_100hz_adc,without_filtered_100hz_adc,with_filtered_100hz_adc
0.0,0.00031486146095716094,0.14699519230769198,-9.8657,0.0016752098606339126,0.016447810387034807,-0.6917748817158746
0.001,0.00031486146095716094,0.14699519230769198,0.13429999999999964,0.0030084132940691776,-0.09206675418771271,-0.5970931225997675
0.002,0.00031486146095716094,0.14699519230769198,0.13429999999999964,0.002896863810335371,-0.17011304431832178,-0.27928102385555575
0.003,0.00031486146095716094,-0.853004807692308,0.13429999999999964,0.0017432939916130446,-0.18775046609901858,0.1399982636385784
0.004,0.00031486146095716094,0.14699519230769198,0.13429999999999964,0.00037178479618217195,-0.1361825481687205,0.5019040082984809
0.005,0.00031486146095716094,0.14699519230769198,0.13429999999999964,-0.00045160008868024227,-0.03205400543307505,0.6714474475463441
0.006,0.00031486146095716094,0.14699519230769198,0.13429999999999964,-0.00043121554260734386,0.08757661445660249,0.5884771906197536
0.007,0.00031486146095716094,0.14699519230769198,0.13429999999999964,0.00012850081528318532,0.17825309260672503,0.2891232186269433
0.008,0.00031486146095716094,0.14699519230769198,0.13429999999999964,0.0005416316988123346,0.20463646233687613,-0.10997157732326014
0.009,0.00031486146095716094,0.14699519230769198,0.13429999999999964,0.00018763538469890803,0.15438397923875025,-0.4577278757557856
0.01,0.00031486146095716094,0.14699519230769198,-0.8657000000000004,-0.0010598546074201032,0.043892379897816296,-0.6265693699946417
0.011,0.00031486146095716094,0.14699519230769198,-0.8657000000000004,-0.0026687318677578453,-0.08675778507712029,-0.5597190421539567
0.012,0.00031486146095716094,0.14699519230769198,0.13429999999999964,-0.0036643148699213052,-0.18825114671289567,-0.2901383623795295
0.013,0.00031486146095716094,-0.853004807692308,0.13429999999999964,-0.003141471147328272,-0.2207118985387363,0.07511138253029681
0.014,0.00031486146095716094,0.14699519230769198,0.13429999999999964,-0.0008204726720920203,-0.16950309346432335,0.39782474385656197
0.015,0.00031486146095716094,0.14699519230769198,0.13429999999999964,0.0026540334362290256,-0.05183162801344153,0.5615118640915902
0.016,0.00031486146095716094,0.14699519230769198,0.13429999999999964,0.005866324536626769,0.08882526238229098,0.5137289208350789
0.017,0.00031486146095716094,0.14699519230769198,0.13429999999999964,0.007214869778604201,0.19877089998655156,0.28240798035692805
0.018,0.00031486146095716094,0.14699519230769198,0.13429999999999964,0.005684521184676797,0.23469631048440404,-0.03864071763502608
0.019,0.00031486146095716094,0.14699519230769198,0.13429999999999964,0.0014394362114716224,0.18088548980954022,-0.32795017016896016
0.02,0.00031486146095716094,0.14699519230769198,0.13429999999999964,-0.004078431514039676,0.05611983421976967,-0.48267988179163096
