label,selected_start_s,selected_end_s,selected_center_s,selected_window_target_amp,segment_samples
no_audio,3.46,3.66,3.56,2.694314641267772e-07,1000
without_object,5.35,5.55,5.449999999999999,0.03759433487551149,1000
with_object,6.2,6.4,6.300000000000001,0.023987021893279295,1000
