start_time_s,end_time_s,raw_mean,raw_rms,raw_peak_to_peak,raw_target_amp,filtered_mean,filtered_rms,filtered_peak_to_peak,filtered_target_amp
0.0,0.2,-0.04431578436840624,0.6476603189513674,3.0,0.5879687295563514,-0.0007447263665326154,0.41856575989990413,1.36945875167698,0.5887744215682456
0.1,0.3,-0.009315784368406242,0.7006152894694766,3.0,0.6349621435215508,0.0001696589412499605,0.4491708067958585,1.3829882855719033,0.6318797384206135
0.2,0.4,-0.014315784368406241,0.6839626756498358,3.0,0.6255874861109421,0.0009993905789732905,0.44594334613044423,1.3829882855719033,0.6279232263010686
0.3,0.5,-0.019315784368406242,0.6668943690913627,3.0,0.5996836675929521,-2.080609807339151e-05,0.4199094011524359,1.292025107570677,0.5930252334998858
0.4,0.6,-0.009315784368406242,0.686193692654194,3.0,0.6168193322598473,-0.0005604448082866864,0.4365850784770578,1.3214722780905606,0.6162027153441347
0.5,0.7,-0.004315784368406242,0.67373483359161,3.0,0.6018803978703822,-0.0006431396923254895,0.4328883250065105,1.4560843647756045,0.6074287047813286
0.6,0.8,-0.004315784368406242,0.6811157214414555,3.0,0.6074327972245037,0.0010205298572386434,0.428628855494642,1.4560843647756045,0.6005757303399756
0.7,0.9,-0.019315784368406242,0.67435013125658,3.0,0.5929795598711523,0.0010089166281298113,0.42424819872749275,1.4110111179287625,0.5956918628006548
0.8,1.0,-0.03431578436840624,0.6523630684341495,3.0,0.5801082411816441,-0.0006894342168318945,0.41509225515667336,1.2806597766372116,0.5844309301213269
0.9,1.1,-0.024315784368406243,0.6720797998522576,3.0,0.6101846121665631,0.0008923855140360448,0.4339204487907913,1.338134291571126,0.6118701560280906
1.0,1.2,-0.019315784368406242,0.6668943690913627,3.0,0.6053955589122989,0.0002402455348362842,0.4282340744080249,1.338134291571126,0.6012366157352501
1.1,1.3,-0.03931578436840624,0.6344452150505219,3.0,0.5780244780675261,-0.0004598243714703243,0.4062958029013515,1.2009297168712276,0.5715480180029823
1.2,1.4,-0.05931578436840624,0.6002444187789165,3.0,0.5528907558890918,-9.225831223780512e-05,0.3952645578594856,1.1834449307433315,0.5582679203313508
1.3,1.5,-0.04431578436840624,0.6240704196997219,3.0,0.5702441213124086,-0.0001966955140868354,0.40306002437010663,1.2150874938925287,0.5686111970091212
1.4,1.6,-0.024315784368406243,0.6493775922908418,3.0,0.5806765418562309,0.0010548442404422309,0.41065334852618973,1.2548659127833066,0.5780563917347706
1.5,1.7,-0.03431578436840624,0.6289495791053675,3.0,0.542285068616463,-0.00012724068847870252,0.3917541603942793,1.2548659127833066,0.5497578150456
1.6,1.8,-0.004315784368406242,0.666272186118192,3.0,0.5668168130682625,-0.0005788110624114751,0.4013615582652056,1.2853752630822772,0.5638357760849315
1.7,1.9,0.010684215631593759,0.6731189734836348,3.0,0.5741855109713994,0.0007450713077890303,0.4089638539931773,1.2853752630822772,0.5752902547341054
1.8,2.0,-0.009315784368406242,0.6331364654151572,3.0,0.5446434844620733,-0.00023634478622991506,0.3943304140887663,1.2402158552762108,0.5551573077093771
1.9,2.1,0.015684215631593758,0.6827488517895715,3.0,0.5941841053862102,-0.0006980723238446196,0.41830979516598105,1.3715657532267773,0.5876296528538286
2.0,2.2,0.02568421563159376,0.7016121998173992,3.0,0.6097771745567062,-0.0008429118481543707,0.42669125959334625,1.3715657532267773,0.6011117869205951
2.1,2.3,0.02068421563159376,0.6776450669607904,3.0,0.585787117612799,0.0003906560762696232,0.42235524831836485,1.4419121038415568,0.5936814515071224
2.2,2.4,0.02068421563159376,0.6551357391993617,3.0,0.5512829748588635,0.000994116264602133,0.39293457312856456,1.4419121038415568,0.5495677669809854
2.3,2.5,0.030684215631593757,0.6287420147317387,3.0,0.5139899565635901,-0.00020466946884072578,0.3663019190840946,1.1339412049092528,0.5168752419277179
2.4,2.6,0.05068421563159376,0.6689872119212666,3.0,0.5553295757433055,-7.906326981494072e-05,0.3946846381497158,1.2601289869767283,0.5566822042996198
2.5,2.7,0.05068421563159376,0.6614710044394915,3.0,0.5368337127969567,4.220154792340391e-06,0.3781718810534123,1.2601289869767283,0.5304486074640131
2.6,2.8,0.02068421563159376,0.6157944760845896,3.0,0.506400934081007,-0.00032351896394651415,0.3588772276028446,1.1517674331825887,0.5045448700369133
2.7,2.9,-0.009315784368406242,0.6331364654151571,3.0,0.5442785649743038,0.0003837979055041074,0.38393756270776813,1.170801554420208,0.5415678370627407
2.8,3.0,-0.009315784368406242,0.6089842229798721,3.0,0.5134265702711187,0.0008438181917870369,0.36944837490011073,1.170801554420208,0.5183939209839782
2.9,3.1,-0.014315784368406241,0.598167987844621,3.0,0.5044194329648837,0.0004718809856394368,0.36069975191358855,1.1024786432947633,0.5047926925284125
3.0,3.2,-0.004315784368406242,0.6276293699268021,3.0,0.5358519741765112,-0.0011520352574889592,0.3817314967926655,1.1250844261291755,0.5336000125368155
3.1,3.3,0.015684215631593758,0.6450937874603803,3.0,0.5582845243590967,-0.0009394826679014911,0.3995355557305544,1.2329501158592935,0.5602312603333821
3.2,3.4,-0.024315784368406243,0.6337911780464057,3.0,0.549288337866701,0.0005633926222927044,0.38954105482758117,1.2329501158592935,0.5481510251610213
3.3,3.5,-0.05931578436840624,0.5833466913210695,3.0,0.5103054015072633,0.0007329875095865291,0.362794680050546,1.1232659454015712,0.5100945700438988
3.4,3.6,-0.04431578436840624,0.5911547079607733,3.0,0.52940700796515,0.0006267978259320161,0.37784535779783124,1.1700267343037725,0.5294376448442338
3.5,3.7,-0.049315784368406244,0.5969983639741998,3.0,0.5155725429004765,0.0005625587977814506,0.3675468777881083,1.1700267343037725,0.5133575308979759
3.6,3.8,-0.04431578436840624,0.5562947858322843,3.0,0.46928610128403114,-0.0004426420401006181,0.3355756088370593,0.9768955726044304,0.4719784005222069
3.7,3.9,-0.049315784368406244,0.5351701099537147,2.0,0.47640227430711385,-0.0007135434300554955,0.3343687011618212,1.013294633432296,0.4706080245504608
3.8,4.0,-0.02931578436840624,0.5182995419765821,2.0,0.448717033716397,0.0003783161852703698,0.3198168068113803,1.013294633432296,0.4488325526538442
3.9,4.1,-0.009315784368406242,0.5107463008563045,3.0,0.43416746639458487,-0.0003340472767232383,0.3134504058252909,1.0139872617589718,0.44147418687091067
4.0,4.2,0.0056842156315937585,0.5657139827751709,3.0,0.4784948368617639,-0.0001726405298503997,0.3383959098556284,1.0567666967354672,0.4767550171967078
4.1,4.3,0.010684215631593759,0.5857381261823942,3.0,0.5001432010933122,0.00033097606771790076,0.3527989386735473,1.139464024629445,0.4954954208716334
4.2,4.4,-0.03431578436840624,0.5436704636604962,3.0,0.4751302920345805,8.394001973330512e-05,0.33845404520095407,1.139464024629445,0.4750280230931839
4.3,4.5,-0.05431578436840624,0.5131765821153136,3.0,0.4415255912442866,9.113587897517039e-05,0.31621594432835326,0.9907698161968177,0.4453079084662123
4.4,4.6,-0.06431578436840624,0.5265325442163318,2.0,0.4720023071427888,-0.0006876209043027393,0.3361849131985583,1.0876470519314019,0.4728778675318337
4.5,4.7,-0.03931578436840624,0.5679090868268468,3.0,0.5038861679500282,-5.830482439725948e-06,0.3553076541870438,1.1307589768364488,0.49867834933224714
4.6,4.8,0.0056842156315937585,0.5568054510395407,3.0,0.46231660557578685,0.0010096298828053507,0.3341019028570198,1.1307589768364488,0.46678196012003886
4.7,4.9,0.03568421563159376,0.5370040625965897,3.0,0.42872596922130257,-0.00034007061740964797,0.30830923477443023,1.0625621835446881,0.4318392964057882
4.8,5.0,0.04068421563159376,0.5669481505407333,3.0,0.45896040764508683,5.8396609464591575e-05,0.327145718649721,1.0690055747473024,0.45801686981389556
4.9,5.1,0.0056842156315937585,0.5657139827751709,3.0,0.47505384532070877,0.00017879134127968377,0.34158722058457347,1.065634342875258,0.4803431604345231
5.0,5.2,0.0006842156315937587,0.5449545560420891,3.0,0.4656586296342708,-3.907268287916099e-05,0.3262800657327092,1.057938268975412,0.4564434089521817
5.1,5.3,0.015684215631593758,0.5349261581003292,3.0,0.4424396678850613,0.0010451813087552476,0.31478098673548216,1.034083801189873,0.44044117163049923
5.2,5.4,0.0056842156315937585,0.5385464792451496,3.0,0.43496342943170957,0.00030480501206184177,0.31255561017282785,1.0392717125801374,0.4371888570074717
5.3,5.5,-0.019315784368406242,0.5047257666552865,3.0,0.4263329075839603,-0.0010872918430554824,0.30282275017642124,1.0392717125801374,0.42214902735376747
5.4,5.6,-0.019315784368406242,0.4634092138982206,2.0,0.3788795667423495,0.00010224398000881263,0.27498143362927463,0.8934260949071995,0.38034598031537714
5.5,5.7,0.030684215631593757,0.4952943782125193,3.0,0.37887824046139434,1.1356878621752164e-05,0.27545575183198323,0.8605321968610842,0.380685485894756
5.6,5.8,0.04068421563159376,0.5304999579656514,3.0,0.43810552593324487,-0.00047031676376495967,0.30844412477294164,1.0247995779838044,0.4317962973026257
5.7,5.9,0.04568421563159376,0.5142830422616266,3.0,0.4058153578098931,0.0005701154049901525,0.29473103611604473,1.0247995779838044,0.4114361947562625
5.8,6.0,0.06568421563159375,0.5066699282404056,3.0,0.3815134019172833,0.00022066720618642844,0.2761915554279985,0.8592127075753164,0.3872733746277883
5.9,6.1,0.060684215631593756,0.5134759722000843,3.0,0.40292784678990295,0.0005930402971028071,0.28462158470976745,0.8592127075753164,0.39808072440279074
6.0,6.2,0.04068421563159376,0.48107193370800383,3.0,0.3702686543256434,-0.0003265589321335738,0.2710067356639168,0.8564233186926427,0.37644114085985686
6.1,6.3,0.0056842156315937585,0.4582928215751873,3.0,0.3501946029215366,-0.00023998804245985216,0.2541112696160396,0.84115453814764,0.35107754674636993
6.2,6.4,0.015684215631593758,0.48594855141257326,3.0,0.3591737250229653,0.001408808390451276,0.2583681580088435,0.9098284303001279,0.35731140726358646
6.3,6.5,0.02568421563159376,0.46071648432914813,3.0,0.34094687916136324,0.00012469700430128017,0.24101973593222764,0.9098284303001279,0.33322274771573723
6.4,6.6,0.010684215631593759,0.43941910798651257,2.0,0.3315507915225773,-0.0004355640085643836,0.234753265111512,0.8482166849969398,0.3267383175141822
6.5,6.7,0.02068421563159376,0.4681910259459212,2.0,0.3629011576894898,-0.0015259808169760596,0.27035353915865185,1.0213281989841043,0.3720834050398455
6.6,6.8,0.07568421563159376,0.5318158520538566,2.0,0.42137311127297855,-0.0013513876044758866,0.3049368383616106,1.0213281989841043,0.41942027057685954
6.7,6.9,0.08068421563159375,0.534682094942486,2.0,0.4183780665864566,6.329868984033094e-05,0.302715642931669,0.9926229405290831,0.4206721706466633
6.8,7.0,0.06568421563159375,0.5066699282404055,3.0,0.39589060552711075,0.0001667709743759549,0.29099824460809914,1.052241321087819,0.4034463463645857
6.9,7.1,0.10068421563159376,0.5550786532351512,3.0,0.44792313658874,0.001463631689899767,0.32174837748128093,1.169555227862258,0.44598176764898484
7.0,7.2,0.09068421563159376,0.5310354291049867,3.0,0.4245420466259738,0.0010309558956733788,0.30675350247819116,1.169555227862258,0.423133757994525
7.1,7.3,0.07068421563159376,0.509677602352167,3.0,0.3794526143970387,-0.0013772781686049252,0.26999524312430817,0.9776250655430229,0.3701378486687366
7.2,7.4,0.05068421563159376,0.5074878222324057,3.0,0.3588150200245915,-0.0006895070162206573,0.2609397710074113,0.9776250655430229,0.35543080044528325
7.3,7.5,0.04568421563159376,0.5044670926412088,2.0,0.37090566500273675,0.00021490112327167575,0.2684944290593242,0.9618810660278527,0.3719244453134018
7.4,7.6,0.060684215631593756,0.523122905278312,2.0,0.3861438596023797,0.00032574920317601894,0.27893943233610596,0.9726415898401987,0.3901119295552716
7.5,7.7,0.11068421563159375,0.5605586459862885,2.0,0.42873341665377673,0.000765216806879545,0.31043515056626997,1.0608326177399239,0.42899135584575704
7.6,7.8,0.10568421563159376,0.5487888058567386,2.0,0.4380634324089032,-0.0005801416985028784,0.3135356333629118,1.0608326177399239,0.43310312829264574
7.7,7.9,0.06568421563159375,0.5164440106953876,2.0,0.3885030679307707,-0.00031433039350791227,0.279610571617465,0.9373856790881624,0.39141192261739327
7.8,8.0,0.09068421563159376,0.5310354291049867,2.0,0.42272464634617046,0.0009268737591508313,0.2972889037906129,0.9541684969330275,0.4166402961140578
7.9,8.1,0.07568421563159376,0.5126676316052825,2.0,0.43392517364099675,0.00025111554555813155,0.3120176461794049,0.9548608288373409,0.43809443309180196
8.0,8.2,0.07068421563159376,0.5193950888672838,2.0,0.4491820430917934,-0.00012692725980632978,0.3210940644827776,1.0513203959176896,0.45060266371807506
8.1,8.3,0.05068421563159376,0.48738474505691076,2.0,0.4164926577502524,-0.00036109250596979447,0.30167006594817786,1.0513203959176896,0.4171225384622681
8.2,8.4,0.02568421563159376,0.47144424795792156,2.0,0.3632835793376459,-0.00037698480224675033,0.2720681257122501,0.9826586211249269,0.37497222986985645
8.3,8.5,0.04068421563159376,0.5014281657441652,2.0,0.39027213909734937,9.100059093638757e-05,0.27777781326475026,0.9704084326497888,0.38616653667856704
8.4,8.6,0.05568421563159376,0.49051068476691295,2.0,0.4235458137195654,-0.000695096700711535,0.295077650748108,0.9942868597368397,0.41183143339355865
8.5,8.7,0.08068421563159375,0.534682094942486,2.0,0.47852892566227545,0.0006217712558183519,0.34468121183830763,1.1160654647827841,0.48208448580660596
8.6,8.8,0.08568421563159376,0.5375330546193429,2.0,0.467585974758779,0.0012502746638321915,0.3410818194254801,1.1160654647827841,0.47511182073282326
8.7,8.9,0.030684215631593757,0.4531186611572361,2.0,0.3831952250183581,0.000318712649348003,0.27145926428779904,0.9449953192546541,0.37710279982786843
8.8,9.0,0.0006842156315937587,0.4324066004942923,2.0,0.34142570909496067,0.00036545662079938255,0.24158944800168716,0.7206397217360696,0.33862732248828203
8.9,9.1,0.010684215631593759,0.43941910798651257,2.0,0.33892506438628417,0.00011504044019126413,0.2443199475995752,0.7206397217360696,0.3427364674789745
9.0,9.2,0.02568421563159376,0.46071648432914813,2.0,0.3771583361575356,-0.00022682601799150047,0.2695458257593725,1.000362012770674,0.374220344687499
9.1,9.3,0.04068421563159376,0.49135547763463266,2.0,0.3932279846612466,-0.0007808133918984028,0.2824409958628698,1.000362012770674,0.3926539492785551
9.2,9.4,0.04568421563159376,0.5044670926412088,2.0,0.3954672028966133,-0.0009055138590488587,0.2825535584965795,0.9865750994582914,0.3927855602234816
9.3,9.5,0.07068421563159376,0.5193950888672838,2.0,0.43825500513013904,0.0001943980221098518,0.3116429580373968,0.9917886015581667,0.4340120190507824
