time_s,raw_adc,centered_adc,filtered_100hz_adc
0.0,15.0,-0.19431578436840624,0.3639758263756464
0.001,16.0,0.8056842156315938,0.5346638322402617
0.002,17.0,1.8056842156315938,0.49830510917222887
0.003,15.0,-0.19431578436840624,0.26169218238972913
0.004,15.0,-0.19431578436840624,-0.08749888922167262
0.005,14.0,-1.1943157843684062,-0.4133495221227546
0.006,15.0,-0.19431578436840624,-0.584970052093701
0.007,15.0,-0.19431578436840624,-0.5293777588275442
0.008,15.0,-0.19431578436840624,-0.26249648140793896
0.009,15.0,-0.19431578436840624,0.11488785869058482
0.01,15.0,-0.19431578436840624,0.4554663512939653
0.011,16.0,0.8056842156315938,0.6233469215754759
0.012,16.0,0.8056842156315938,0.5486322233203531
0.013,15.0,-0.19431578436840624,0.2565744762205883
0.014,15.0,-0.19431578436840624,-0.14087796574888517
0.015,14.0,-1.1943157843684062,-0.48834724073622426
0.016,15.0,-0.19431578436840624,-0.6482397904177986
0.017,15.0,-0.19431578436840624,-0.5556039560763845
0.018,15.0,-0.19431578436840624,-0.24461499710263618
0.019,15.0,-0.19431578436840624,0.16414817422625175
0.02,15.0,-0.19431578436840624,0.5108427100687757
0.021,17.0,1.8056842156315938,0.659328944729787
0.022,16.0,0.8056842156315938,0.5509753867463646
0.023,15.0,-0.19431578436840624,0.2279039432931036
0.024,15.0,-0.19431578436840624,-0.18356860277212597
0.025,14.0,-1.1943157843684062,-0.5226986647422354
0.026,15.0,-0.19431578436840624,-0.6575250055455628
0.027,15.0,-0.19431578436840624,-0.5364960029179635
0.028,15.0,-0.19431578436840624,-0.20821190900005637
0.029,15.0,-0.19431578436840624,0.19827627366292516
0.03,15.0,-0.19431578436840624,0.5245372919814134
0.031,16.0,0.8056842156315938,0.6448415235267407
0.032,16.0,0.8056842156315938,0.5147909691293551
0.033,15.0,-0.19431578436840624,0.1876249209438943
0.034,15.0,-0.19431578436840624,-0.20773339435555155
0.035,14.0,-1.1943157843684062,-0.5177569846903454
0.036,15.0,-0.19431578436840624,-0.624158772611056
0.037,15.0,-0.19431578436840624,-0.4890777214447994
0.038,15.0,-0.19431578436840624,-0.16833462001648225
0.039,15.0,-0.19431578436840624,0.21176358785840868
0.04,15.0,-0.19431578436840624,0.504362883121991
0.041,17.0,1.8056842156315938,0.5989039615174881
0.042,16.0,0.8056842156315938,0.46282017502520617
0.043,15.0,-0.19431578436840624,0.1524095574843952
0.044,15.0,-0.19431578436840624,-0.21056262140935642
0.045,14.0,-1.1943157843684062,-0.48674611789366695
0.046,15.0,-0.19431578436840624,-0.5726817905047391
0.047,15.0,-0.19431578436840624,-0.4393574172771123
0.048,15.0,-0.19431578436840624,-0.14157240754846798
0.049,15.0,-0.19431578436840624,0.2046817272687464
0.05,15.0,-0.19431578436840624,0.4674345683331966
0.051,16.0,0.8056842156315938,0.5488945658326034
0.052,16.0,0.8056842156315938,0.4215471756675302
0.053,15.0,-0.19431578436840624,0.13700834801233636
0.054,15.0,-0.19431578436840624,-0.1949835316003852
0.055,14.0,-1.1943157843684062,-0.4488404701213685
0.056,15.0,-0.19431578436840624,-0.5303923348505482
0.057,15.0,-0.19431578436840624,-0.41146344942292895
0.058,15.0,-0.19431578436840624,-0.1392274229967734
0.059,15.0,-0.19431578436840624,0.18257281133443273
0.06,15.0,-0.19431578436840624,0.43303025390354516
0.061,16.0,0.8056842156315938,0.5191904866494809
0.062,16.0,0.8056842156315938,0.4101824109552607
0.063,15.0,-0.19431578436840624,0.1479984846622148
0.064,15.0,-0.19431578436840624,-0.16870662038659257
0.065,14.0,-1.1943157843684062,-0.4215395260836992
0.066,15.0,-0.19431578436840624,-0.5162851669535601
0.067,15.0,-0.19431578436840624,-0.41768141896495486
0.068,15.0,-0.19431578436840624,-0.1623647551229957
0.069,15.0,-0.19431578436840624,0.1546905400108599
0.07,15.0,-0.19431578436840624,0.4152513023142948
0.071,16.0,0.8056842156315938,0.5215863076418987
0.072,16.0,0.8056842156315938,0.43286360885201436
0.073,15.0,-0.19431578436840624,0.18074190737726997
0.074,15.0,-0.19431578436840624,-0.1417696461576689
0.075,14.0,-1.1943157843684062,-0.41434889539154457
0.076,15.0,-0.19431578436840624,-0.5339751023334026
0.077,15.0,-0.19431578436840624,-0.4537063132746492
0.078,15.0,-0.19431578436840624,-0.20108983860485294
0.079,15.0,-0.19431578436840624,0.1310239728478268
0.08,15.0,-0.19431578436840624,0.4183468772801454
0.081,16.0,0.8056842156315938,0.55147872762756
0.082,16.0,0.8056842156315938,0.477517088313574
0.083,15.0,-0.19431578436840624,0.22114015502756063
0.084,15.0,-0.19431578436840624,-0.12327853981623642
0.085,14.0,-1.1943157843684062,-0.42619508150023544
0.086,15.0,-0.19431578436840624,-0.5715415732501917
0.087,15.0,-0.19431578436840624,-0.5012680848467729
0.088,15.0,-0.19431578436840624,-0.2386539774533233
0.089,15.0,-0.19431578436840624,0.11903723615772759
0.09,15.0,-0.19431578436840624,0.43644258496865534
0.091,16.0,0.8056842156315938,0.5913607972434233
0.092,16.0,0.8056842156315938,0.5219695527818558
0.093,15.0,-0.19431578436840624,0.25168005059206044
0.094,15.0,-0.19431578436840624,-0.11844795687475829
0.095,14.0,-1.1943157843684062,-0.44744191046389525
0.096,15.0,-0.19431578436840624,-0.6082461043419207
0.097,15.0,-0.19431578436840624,-0.5370377637979428
0.098,15.0,-0.19431578436840624,-0.25878205384034764
0.099,15.0,-0.19431578436840624,0.12130346819245805
0.1,15.0,-0.19431578436840624,0.45756912646990916
0.101,16.0,0.8056842156315938,0.6199603518178954
0.102,17.0,1.8056842156315938,0.5446124767702243
0.103,15.0,-0.19431578436840624,0.2592068120379084
0.104,15.0,-0.19431578436840624,-0.1270787765265858
0.105,14.0,-1.1943157843684062,-0.46543369191112116
0.106,15.0,-0.19431578436840624,-0.6249995012364506
0.107,15.0,-0.19431578436840624,-0.5437845086786665
0.108,15.0,-0.19431578436840624,-0.25297164331078614
0.109,15.0,-0.19431578436840624,0.13500168154706058
0.11,15.0,-0.19431578436840624,0.4700531081154511
0.111,16.0,0.8056842156315938,0.6227775148503356
0.112,17.0,1.8056842156315938,0.5347045575932616
0.113,15.0,-0.19431578436840624,0.24085869494252898
0.114,15.0,-0.19431578436840624,-0.144149194174879
0.115,14.0,-1.1943157843684062,-0.4709716538402291
0.116,15.0,-0.19431578436840624,-0.6136933340280815
0.117,15.0,-0.19431578436840624,-0.5185589927508724
0.118,15.0,-0.19431578436840624,-0.22431568294504223
0.119,15.0,-0.19431578436840624,0.15355912589465143
0.12,15.0,-0.19431578436840624,0.46830927129512756
0.121,16.0,0.8056842156315938,0.5990717492514032
0.122,17.0,1.8056842156315938,0.4974151237383135
0.123,15.0,-0.19431578436840624,0.20527450540746955
0.124,15.0,-0.19431578436840624,-0.16234390478085695
0.125,14.0,-1.1943157843684062,-0.4627352756214737
0.126,15.0,-0.19431578436840624,-0.5809859743478434
0.127,15.0,-0.19431578436840624,-0.4739553395095605
0.128,15.0,-0.19431578436840624,-0.1859101306485149
0.129,15.0,-0.19431578436840624,0.16979293479845572
0.13,15.0,-0.19431578436840624,0.4553709436511582
0.131,15.0,-0.19431578436840624,0.5619850100391058
0.132,16.0,0.8056842156315938,0.451134207880858
0.133,15.0,-0.19431578436840624,0.1683704257758491
0.134,15.0,-0.19431578436840624,-0.17545079831577978
0.135,14.0,-1.1943157843684062,-0.44763402119730017
0.136,15.0,-0.19431578436840624,-0.544761374124261
0.137,15.0,-0.19431578436840624,-0.431803086780706
0.138,16.0,0.8056842156315938,-0.15451194477284122
0.139,15.0,-0.19431578436840624,0.17916129075726142
0.14,15.0,-0.19431578436840624,0.44104559932082915
0.141,17.0,1.8056842156315938,0.5318027384528108
0.142,16.0,0.8056842156315938,0.4183514645884779
0.143,15.0,-0.19431578436840624,0.1456763900706772
0.144,15.0,-0.19431578436840624,-0.1810714103782629
0.145,14.0,-1.1943157843684062,-0.43702464414338016
0.146,15.0,-0.19431578436840624,-0.5250732594404364
0.147,15.0,-0.19431578436840624,-0.4124123174977084
0.148,15.0,-0.19431578436840624,-0.14253738376098177
0.149,15.0,-0.19431578436840624,0.18159451993513848
0.15,15.0,-0.19431578436840624,0.43669703150076467
0.151,16.0,0.8056842156315938,0.5257664894657937
0.152,16.0,0.8056842156315938,0.4146703516379168
0.153,15.0,-0.19431578436840624,0.14503790254603946
0.154,15.0,-0.19431578436840624,-0.18133729609238228
0.155,14.0,-1.1943157843684062,-0.44074397122119086
0.156,15.0,-0.19431578436840624,-0.5341621314906799
0.157,15.0,-0.19431578436840624,-0.42479812036820097
0.158,15.0,-0.19431578436840624,-0.15242644254089602
0.159,15.0,-0.19431578436840624,0.18100004928551622
0.16,15.0,-0.19431578436840624,0.4493094188289468
0.161,16.0,0.8056842156315938,0.5496047906960204
0.162,16.0,0.8056842156315938,0.44152752031585335
0.163,15.0,-0.19431578436840624,0.16338636318216715
0.164,15.0,-0.19431578436840624,-0.18126381599736674
0.165,14.0,-1.1943157843684062,-0.4619781431066871
0.166,15.0,-0.19431578436840624,-0.5706061959278749
0.167,15.0,-0.19431578436840624,-0.46284549162882216
0.168,15.0,-0.19431578436840624,-0.17623983786867256
0.169,15.0,-0.19431578436840624,0.1826797120226329
0.17,15.0,-0.19431578436840624,0.47782660744499933
0.171,16.0,0.8056842156315938,0.5950554314615062
0.172,16.0,0.8056842156315938,0.4862855276619211
0.173,15.0,-0.19431578436840624,0.189197304058853
0.174,15.0,-0.19431578436840624,-0.1855760294828
0.175,14.0,-1.1943157843684062,-0.4955390337720425
0.176,15.0,-0.19431578436840624,-0.6205069369523603
0.177,15.0,-0.19431578436840624,-0.5092733292712734
0.178,15.0,-0.19431578436840624,-0.2006168304731968
0.179,15.0,-0.19431578436840624,0.1899963925186851
0.18,15.0,-0.19431578436840624,0.5135723112626767
0.181,16.0,0.8056842156315938,0.6445055278867139
0.182,17.0,1.8056842156315938,0.5294775777869897
0.183,15.0,-0.19431578436840624,0.20923641140486943
0.184,15.0,-0.19431578436840624,-0.19567820071188538
0.185,14.0,-1.1943157843684062,-0.5303470108653645
0.186,15.0,-0.19431578436840624,-0.6649029920596878
0.187,15.0,-0.19431578436840624,-0.5451164670816685
0.188,15.0,-0.19431578436840624,-0.21434613224192825
0.189,15.0,-0.19431578436840624,0.20207511875918702
0.19,15.0,-0.19431578436840624,0.5444385739488374
0.191,17.0,1.8056842156315938,0.680122625509298
0.192,16.0,0.8056842156315938,0.5551774213167244
0.193,15.0,-0.19431578436840624,0.2158759079728224
0.194,15.0,-0.19431578436840624,-0.20842126850987816
0.195,14.0,-1.1943157843684062,-0.5547432043004209
0.196,15.0,-0.19431578436840624,-0.689336126167682
0.197,15.0,-0.19431578436840624,-0.5595203647942175
0.198,16.0,0.8056842156315938,-0.21438682926439237
0.199,15.0,-0.19431578436840624,0.2138289106229174
0.2,15.0,-0.19431578436840624,0.5605970231881814
0.201,17.0,1.8056842156315938,0.692530379745671
0.202,17.0,1.8056842156315938,0.558852109683202
0.203,15.0,-0.19431578436840624,0.21096825729443489
0.204,15.0,-0.19431578436840624,-0.21740661818469537
0.205,14.0,-1.1943157843684062,-0.561834041114507
0.206,15.0,-0.19431578436840624,-0.6904579058262323
0.207,15.0,-0.19431578436840624,-0.5545783405606166
0.208,15.0,-0.19431578436840624,-0.20705660165808418
0.209,15.0,-0.19431578436840624,0.21838194975471564
0.21,15.0,-0.19431578436840624,0.558777416013799
0.211,16.0,0.8056842156315938,0.6844816684565012
0.212,16.0,0.8056842156315938,0.5485574866220605
0.213,15.0,-0.19431578436840624,0.20420313872521142
0.214,15.0,-0.19431578436840624,-0.21621187621770202
0.215,14.0,-1.1943157843684062,-0.5521679840473979
0.216,15.0,-0.19431578436840624,-0.6763400750567269
0.217,15.0,-0.19431578436840624,-0.5427948275913222
0.218,15.0,-0.19431578436840624,-0.20382557122539885
0.219,15.0,-0.19431578436840624,0.21066582897372388
0.22,15.0,-0.19431578436840624,0.5430427621028826
0.221,17.0,1.8056842156315938,0.6678690500338789
0.222,16.0,0.8056842156315938,0.5391233906288021
0.223,15.0,-0.19431578436840624,0.20698019705085755
0.224,15.0,-0.19431578436840624,-0.20186999033367403
0.225,14.0,-1.1943157843684062,-0.532582758048378
0.226,15.0,-0.19431578436840624,-0.6607234585725135
0.227,15.0,-0.19431578436840624,-0.538919367399122
0.228,15.0,-0.19431578436840624,-0.21418823529077954
0.229,15.0,-0.19431578436840624,0.1903067950992034
0.23,15.0,-0.19431578436840624,0.5219530380657365
0.231,16.0,0.8056842156315938,0.6561391275645502
0.232,16.0,0.8056842156315938,0.5428937947315661
0.233,15.0,-0.19431578436840624,0.2253415752239736
0.234,15.0,-0.19431578436840624,-0.17676977193953536
0.235,14.0,-1.1943157843684062,-0.5121581111688972
0.236,15.0,-0.19431578436840624,-0.6547695060374595
0.237,15.0,-0.19431578436840624,-0.5509900755761711
0.238,15.0,-0.19431578436840624,-0.23970124934460219
0.239,15.0,-0.19431578436840624,0.16227992268449076
0.24,15.0,-0.19431578436840624,0.5039323604336525
0.241,17.0,1.8056842156315938,0.6566188127978627
0.242,16.0,0.8056842156315938,0.5624004860462654
0.243,15.0,-0.19431578436840624,0.2559881196311095
0.244,15.0,-0.19431578436840624,-0.14797493561795874
0.245,14.0,-1.1943157843684062,-0.4976790663069174
0.246,15.0,-0.19431578436840624,-0.6610782755877194
0.247,15.0,-0.19431578436840624,-0.575696673958147
0.248,15.0,-0.19431578436840624,-0.27255171026620717
0.249,15.0,-0.19431578436840624,0.13498592972868848
0.25,15.0,-0.19431578436840624,0.4934635482276299
0.251,16.0,0.8056842156315938,0.6670561626745362
0.252,17.0,1.8056842156315938,0.5890520950073911
0.253,15.0,-0.19431578436840624,0.28759186213301424
0.254,15.0,-0.19431578436840624,-0.12431767171553608
0.255,14.0,-1.1943157843684062,-0.49105738281724337
0.256,15.0,-0.19431578436840624,-0.6731782039936143
0.257,15.0,-0.19431578436840624,-0.6005209437098243
0.258,15.0,-0.19431578436840624,-0.29940058871847514
0.259,15.0,-0.19431578436840624,0.11674717192471301
0.26,15.0,-0.19431578436840624,0.49002288905456065
0.261,17.0,1.8056842156315938,0.6780248392557084
0.262,17.0,1.8056842156315938,0.6083304027808983
0.263,15.0,-0.19431578436840624,0.30658921038495
0.264,15.0,-0.19431578436840624,-0.11275247349399002
0.265,15.0,-0.19431578436840624,-0.4898213015230479
0.266,15.0,-0.19431578436840624,-0.680367011488601
0.267,15.0,-0.19431578436840624,-0.6111420349179234
0.268,15.0,-0.19431578436840624,-0.30826877984153855
0.269,15.0,-0.19431578436840624,0.11247883177199056
0.27,15.0,-0.19431578436840624,0.4899251418513951
0.271,16.0,0.8056842156315938,0.6793635680402115
0.272,16.0,0.8056842156315938,0.6082438898982818
0.273,15.0,-0.19431578436840624,0.3041594207438201
0.274,15.0,-0.19431578436840624,-0.11574408585351884
0.275,14.0,-1.1943157843684062,-0.4899156346839673
0.276,15.0,-0.19431578436840624,-0.6746903982990337
0.277,15.0,-0.19431578436840624,-0.5996463637696233
0.278,15.0,-0.19431578436840624,-0.294615211306586
0.279,15.0,-0.19431578436840624,0.12207969052277347
0.28,15.0,-0.19431578436840624,0.4895494597409662
0.281,17.0,1.8056842156315938,0.6665829970308932
0.282,17.0,1.8056842156315938,0.5860701243898587
0.283,15.0,-0.19431578436840624,0.28056389078819577
0.284,15.0,-0.19431578436840624,-0.1307994006781032
0.285,14.0,-1.1943157843684062,-0.48878504967080605
0.286,15.0,-0.19431578436840624,-0.6557882799884065
0.287,15.0,-0.19431578436840624,-0.5688310560496074
0.288,15.0,-0.19431578436840624,-0.2633729803095682
0.289,15.0,-0.19431578436840624,0.14108460681191587
0.29,15.0,-0.19431578436840624,0.4877660093815707
0.291,16.0,0.8056842156315938,0.6434359121628006
0.292,16.0,0.8056842156315938,0.5496425697474681
0.293,15.0,-0.19431578436840624,0.24466403387288352
0.294,15.0,-0.19431578436840624,-0.15207416938300086
0.295,14.0,-1.1943157843684062,-0.4867668029031558
0.296,15.0,-0.19431578436840624,-0.6308518575464064
0.297,15.0,-0.19431578436840624,-0.5303674310327553
0.298,15.0,-0.19431578436840624,-0.226103214937774
0.299,15.0,-0.19431578436840624,0.16294733814679574
0.3,15.0,-0.19431578436840624,0.48611237097019633
0.301,17.0,1.8056842156315938,0.6193454046850955
0.302,16.0,0.8056842156315938,0.5127577560429256
0.303,15.0,-0.19431578436840624,0.2091983913919239
0.304,15.0,-0.19431578436840624,-0.17299070745384554
0.305,14.0,-1.1943157843684062,-0.4860877392178472
0.306,15.0,-0.19431578436840624,-0.6100043075727556
0.307,15.0,-0.19431578436840624,-0.49822218136147434
0.308,15.0,-0.19431578436840624,-0.19513035038953028
0.309,15.0,-0.19431578436840624,0.1816436367905257
0.31,15.0,-0.19431578436840624,0.4868552480347677
0.311,16.0,0.8056842156315938,0.6035304963030623
0.312,16.0,0.8056842156315938,0.48765357644293295
0.313,15.0,-0.19431578436840624,0.1846391681926462
0.314,15.0,-0.19431578436840624,-0.18852049116346223
0.315,14.0,-1.1943157843684062,-0.48839554901046633
0.316,15.0,-0.19431578436840624,-0.6001415394094175
0.317,15.0,-0.19431578436840624,-0.4813401258462343
0.318,15.0,-0.19431578436840624,-0.17797743761892967
0.319,15.0,-0.19431578436840624,0.19341173061875824
0.32,15.0,-0.19431578436840624,0.49048424462879325
0.321,16.0,0.8056842156315938,0.5995519588892754
0.322,16.0,0.8056842156315938,0.4789689830523224
0.323,15.0,-0.19431578436840624,0.1749315429248398
0.324,15.0,-0.19431578436840624,-0.19626869597355295
0.325,14.0,-1.1943157843684062,-0.4927097300124051
0.326,15.0,-0.19431578436840624,-0.6010354615507979
0.327,15.0,-0.19431578436840624,-0.4797172286908317
0.328,15.0,-0.19431578436840624,-0.17490217123914453
0.329,15.0,-0.19431578436840624,0.19717848663437754
0.33,15.0,-0.19431578436840624,0.4945304950895163
0.331,16.0,0.8056842156315938,0.6035562725505328
0.332,16.0,0.8056842156315938,0.4824118428446797
0.333,15.0,-0.19431578436840624,0.17702728238105508
0.334,15.0,-0.19431578436840624,-0.19633545313252757
0.335,14.0,-1.1943157843684062,-0.49536308738641066
0.336,15.0,-0.19431578436840624,-0.6059470751248273
0.337,15.0,-0.19431578436840624,-0.4857307955089764
0.338,15.0,-0.19431578436840624,-0.18032593794966031
0.339,15.0,-0.19431578436840624,0.1940146538877434
0.34,15.0,-0.19431578436840624,0.4946863017298284
0.341,17.0,1.8056842156315938,0.6071042091613148
0.342,17.0,1.8056842156315938,0.4884125232908816
0.343,15.0,-0.19431578436840624,0.1838402605525544
0.344,15.0,-0.19431578436840624,-0.1905505156657917
0.345,14.0,-1.1943157843684062,-0.4921439002342089
0.346,15.0,-0.19431578436840624,-0.6061687442022577
