state,sample_rate,selected_start_s,selected_end_s,phase_shift_s,phase_rad,segment_samples
no_audio,7000.000000,3.033571,3.233571,0.000000000,0.000000000,1400
without_object,7000.000000,4.165000,4.365000,0.000400253,1.760406026,1400
with_object,7000.000000,4.607143,4.807143,-0.000616483,-2.711434245,1400
