state,sample_rate,selected_start_s,selected_end_s,phase_shift_s,phase_rad,segment_samples
no_audio,1000.000000,3.085000,3.285000,0.000000000,0.000000000,200
without_object,1000.000000,13.055000,13.255000,0.004987177,3.133535439,200
with_object,1000.000000,2.045000,2.245000,0.002539186,1.595417370,200
