time_s,background_centered_adc,without_centered_adc,with_centered_adc,background_filtered_100hz_adc,without_filtered_100hz_adc,with_filtered_100hz_adc
0.0,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,3.5390754609117975e-05,0.3639758263756464,-0.0008902725818510467
0.001,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,-0.0001232129813806634,0.5346638322402617,-0.12345932705459023
0.002,-0.003284329058493185,1.8056842156315938,-0.11390256323204895,-0.00040259734898826253,0.49830510917222887,-0.19766221000489512
0.003,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.0006258398249721903,0.26169218238972913,-0.1992092957873986
0.004,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.0006084075950616945,-0.08749888922167262,-0.1306390457641711
0.005,-0.003284329058493185,-1.1943157843684062,-0.11390256323204895,-0.00027052277705879284,-0.4133495221227546,-0.018951669979609682
0.006,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.00030019504441338747,-0.584970052093701,0.0951713288939653
0.007,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0008721629503384152,-0.5293777588275442,0.17219708729805008
0.008,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0011721066941325724,-0.26249648140793896,0.18721642002915226
0.009,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0010182963399757324,0.11488785869058482,0.13758636443082356
0.01,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.00041942553986656434,0.4554663512939653,0.042617196382667324
0.011,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,-0.0004116402097822154,0.6233469215754759,-0.0639991775021961
0.012,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,-0.0011402976128009883,0.5486322233203531,-0.14602501009217697
0.013,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.0014539915024452308,0.2565744762205883,-0.17668020531159098
0.014,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.0012024729287053353,-0.14087796574888517,-0.14700134197552106
0.015,-0.003284329058493185,-1.1943157843684062,-0.11390256323204895,-0.00046984633358767826,-0.48834724073622426,-0.06815247970929009
0.016,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0004558045535865587,-0.6482397904177986,0.03272989228285753
0.017,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0012029163484138352,-0.5556039560763845,0.12162911754932777
0.018,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.001473893607243125,-0.24461499710263618,0.16875777486455112
0.019,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0011698984276395162,0.16414817422625175,0.15824454516820693
0.02,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0004286601785896562,0.5108427100687757,0.09340356824039879
0.021,-0.003284329058493185,1.8056842156315938,-0.11390256323204895,-0.000439497734317055,0.659328944729787,-0.004121136467833406
0.022,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,-0.001086912971100201,0.5509753867463646,-0.1012254077565248
0.023,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.0012741801335527452,0.2279039432931036,-0.16423417495960563
0.024,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.0009628612590958119,-0.18356860277212597,-0.17040846455247138
0.025,-0.003284329058493185,-1.1943157843684062,-0.11390256323204895,-0.00031800681908173713,-0.5226986647422354,-0.11622840609357457
0.026,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0003754563865233226,-0.6575250055455628,-0.019405977840739563
0.027,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0008408886564111676,-0.5364960029179635,0.08649173378867109
0.028,-0.003284329058493185,-0.19431578436840624,0.886097436767951,0.0009240771378349935,-0.20821190900005637,0.16339816462763812
0.029,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0006448995240283885,0.19827627366292516,0.18238292345493393
0.03,-0.003284329058493185,-0.19431578436840624,0.886097436767951,0.0001692088469208804,0.5245372919814134,0.13471128102853544
0.031,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,-0.0002795461233769183,0.6448415235267407,0.036028210860370107
0.032,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,-0.0005240625840989616,0.5147909691293551,-0.07837510605274617
0.033,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.0005042845295878494,0.1876249209438943,-0.16599499723408184
0.034,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.00028697426658729505,-0.20773339435555155,-0.19295958599478363
0.035,-0.003284329058493185,-1.1943157843684062,-0.11390256323204895,-1.582996038074047e-05,-0.5177569846903454,-0.147356522647932
0.036,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.00016821122541262805,-0.624158772611056,-0.044705108832372775
0.037,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.00019539045389844318,-0.4890777214447994,0.0770009574257575
0.038,-0.003284329058493185,-0.19431578436840624,0.886097436767951,9.21542191396489e-05,-0.16833462001648225,0.17126313386752318
0.039,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-4.553890053573059e-05,0.21176358785840868,0.20096458190507893
0.04,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.00011276849353450549,0.504362883121991,0.15323991926048994
0.041,-0.003284329058493185,1.8056842156315938,-0.11390256323204895,-5.64473894228809e-05,0.5989039615174881,0.04526724430781507
0.042,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,9.542672967379097e-05,0.46282017502520617,-0.08169317779676762
0.043,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.000250221026459683,0.1524095574843952,-0.17804864774239118
0.044,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0003029493478411091,-0.21056262140935642,-0.2054024777881127
0.045,-0.003284329058493185,-1.1943157843684062,-0.11390256323204895,0.0001962610746058929,-0.48674611789366695,-0.15210055004989476
0.046,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-4.357562275257082e-05,-0.5726817905047391,-0.03840006417310856
0.047,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.0003139244320989422,-0.4393574172771123,0.0910981740189824
0.048,-0.003284329058493185,-0.19431578436840624,0.886097436767951,-0.0004834772945903658,-0.14157240754846798,0.18497912746664372
0.049,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.00045712737400588105,0.2046817272687464,0.20559145592225947
0.05,-0.003284329058493185,-0.19431578436840624,0.886097436767951,-0.00022589246254134894,0.4674345683331966,0.14436213838325043
0.051,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,0.000123241223080856,0.5488945658326034,0.025528761896451917
0.052,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,0.00044338837393666545,0.4215471756675302,-0.10339220578146101
0.053,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0005934404346677877,0.13700834801233636,-0.19067001038929357
0.054,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0005027471875901636,-0.1949835316003852,-0.20126930260909587
0.055,-0.003284329058493185,-1.1943157843684062,-0.11390256323204895,0.00020452536909053423,-0.4488404701213685,-0.13108092519172532
0.056,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.00017765182960285172,-0.5303923348505482,-0.008621606042797651
0.057,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.00048407805542298677,-0.41146344942292895,0.11654071522250019
0.058,-0.003284329058493185,-0.19431578436840624,0.886097436767951,-0.0005889392532095994,-0.1392274229967734,0.19393178505323816
0.059,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.0004543500069690429,0.18257281133443273,0.19265284083133408
0.06,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.0001444972050530289,0.43303025390354516,0.11382552159952279
0.061,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,0.00020536881994291965,0.5191904866494809,-0.010061444865390406
0.062,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,0.0004498485912206804,0.4101824109552607,-0.12857264842861213
0.063,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.00049607211242172,0.1479984846622148,-0.19394697577272207
0.064,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.00034035393339036245,-0.16870662038659257,-0.1804394006654288
0.065,-0.003284329058493185,-1.1943157843684062,-0.11390256323204895,6.395504178428327e-05,-0.4215395260836992,-0.09450219918445373
0.066,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.00020787193749033847,-0.5162851669535601,0.028242329584935017
0.067,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.000363178397593907,-0.41768141896495486,0.13783244410376547
0.068,-0.003284329058493185,-0.19431578436840624,0.886097436767951,-0.0003504770917797114,-0.1623647551229957,0.1903910465604583
0.069,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.00019552577043761903,0.1546905400108599,0.16574694218174418
0.07,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,1.745312493829488e-05,0.4152513023142948,0.07514560441075961
0.071,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,0.00018886731303494373,0.5215863076418987,-0.04388677079256583
0.072,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,0.0002497120689793103,0.43286360885201436,-0.1431772183096694
0.073,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0001892741233058281,0.18074190737726997,-0.18348038267555897
0.074,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,5.349864087119412e-05,-0.1417696461576689,-0.14999830485593577
0.075,-0.003284329058493185,-1.1943157843684062,-0.11390256323204895,-8.263204800321934e-05,-0.41434889539154457,-0.05769908314155086
0.076,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.00015354414944023398,-0.5339751023334026,0.05542345548785774
0.077,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.00013332698496450817,-0.4537063132746492,0.14409575406135106
0.078,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-4.4157477391534545e-05,-0.20108983860485294,0.17394181139940718
0.079,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,5.930568985561853e-05,0.1310239728478268,0.13476336694028498
0.08,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.0001200903798639726,0.4183468772801454,0.04381008651798905
0.081,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,0.00010784955134993662,0.55147872762756,-0.061896138174834504
0.082,-0.003284329058493185,0.8056842156315938,-0.11390256323204895,3.247551315184324e-05,0.477517088313574,-0.14073770909727704
0.083,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-6.33077264918929e-05,0.22114015502756063,-0.16290989317531693
0.084,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-0.00012743347538164896,-0.12327853981623642,-0.12157933389907095
0.085,-0.003284329058493185,-1.1943157843684062,-0.11390256323204895,-0.00012551867349136112,-0.42619508150023544,-0.03466427713868216
0.086,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,-5.782659869110238e-05,-0.5715415732501917,0.0630336666644459
0.087,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,4.179123072341237e-05,-0.5012680848467729,0.13385418108021047
0.088,-0.003284329058493185,-0.19431578436840624,0.886097436767951,0.00012368484992631272,-0.2386539774533233,0.15176863044019268
0.089,-0.003284329058493185,-0.19431578436840624,-0.11390256323204895,0.00014747194545392523,0.11903723615772759,0.11177289529067228
