end_time_s,background_filtered_target_amp,without_filtered_target_amp,with_filtered_target_amp
0.2,0.00012143936639203535,0.5887744215682456,0.18522973508865953
0.3,7.59672922666714e-06,0.6318797384206135,0.21486947602877787
0.4,6.485365868463429e-06,0.6279232263010686,0.2097998793725952
0.5,1.5992149720686056e-06,0.5930252334998858,0.2240609951845162
0.6,1.3963428884349497e-06,0.6162027153441347,0.21165667327025314
0.7,5.222320005538061e-07,0.6074287047813286,0.18549113494880662
0.8,4.815512609946886e-07,0.6005757303399756,0.20647038191265715
0.9,2.1016942114635247e-07,0.5956918628006548,0.19840189038156564
1.0,2.1365796627011677e-07,0.5844309301213269,0.19998949618994394
1.1,9.726090417972893e-08,0.6118701560280906,0.2013777357460943
1.2,1.109368499832697e-07,0.6012366157352501,0.2008365350138639
1.3,5.0189403942423296e-08,0.5715480180029823,0.2147568993429713
1.4,6.407892487731595e-08,0.5582679203313508,0.21697863251149743
1.5,2.8460427246578493e-08,0.5686111970091212,0.19246461104684986
1.6,3.995469423954055e-08,0.5780563917347706,0.18377816241757444
1.7,1.7598968265114457e-08,0.5497578150456,0.19385654401638575
1.8,2.638457984977782e-08,0.5638357760849315,0.1977260014617099
1.9,1.1794482898386614e-08,0.5752902547341054,0.19068382641629822
2.0,1.8220919828456746e-08,0.5551573077093771,0.1937059787711332
2.1,8.506535079555876e-09,0.5876296528538286,0.22904074217609732
2.2,1.3045933620296291e-08,0.6011117869205951,0.23478855460218565
2.3,6.55314720760398e-09,0.5936814515071224,0.20985028772049147
2.4,9.626619179795548e-09,0.5495677669809854,0.22427900125688818
2.5,5.359669313742962e-09,0.5168752419277179,0.2515112101919077
2.6,7.291767042532346e-09,0.5566822042996198,0.24534424016400286
2.7,4.63913171798933e-09,0.5304486074640131,0.22528736181797102
2.8,5.656717282690128e-09,0.5045448700369133,0.254184289983535
2.9,4.2490474477584e-09,0.5415678370627407,0.2917108896268019
3.0,4.492719591182241e-09,0.5183939209839782,0.27042155536109935
3.1,4.126329754911683e-09,0.5047926925284125,0.22342261203758412
3.2,3.6618476333085795e-09,0.5336000125368155,0.20533130680745434
3.3,4.259437566597986e-09,0.5602312603333821,0.2098921385093426
3.4,3.084541096915979e-09,0.5481510251610213,0.2052849648891713
3.5,4.6806117834758805e-09,0.5100945700438988,0.22496859550477907
3.6,2.7255805553286547e-09,0.5294376448442338,0.23185124759043357
3.7,5.472639285219854e-09,0.5133575308979759,0.20862154762848298
3.8,2.5916717416649664e-09,0.4719784005222069,0.2194538314951447
3.9,6.792374942619223e-09,0.4706080245504608,0.2221159195223877
4.0,2.735026695693221e-09,0.4488325526538442,0.23513869116959987
4.1,8.922291842958291e-09,0.44147418687091067,0.24540026176369603
4.2,3.2611357593107756e-09,0.4767550171967078,0.22905547420369987
4.3,1.2378348934689166e-08,0.4954954208716334,0.2473468662738038
4.4,4.3607544728872525e-09,0.4750280230931839,0.2492731010601408
4.5,1.8143354812078355e-08,0.4453079084662123,0.237648110295141
4.6,6.41425824902054e-09,0.4728778675318337,0.22552922393461666
4.7,2.8205992500679367e-08,0.49867834933224714,0.23264858361742546
4.8,1.0254389547960975e-08,0.46678196012003886,0.23664059137425006
4.9,4.6920475457543404e-08,0.4318392964057882,0.21722513694290616
5.0,1.7855084459921808e-08,0.45801686981389556,0.22795661789967828
5.1,8.484669677549448e-08,0.4803431604345231,0.2633218363095247
5.2,3.4438880076242385e-08,0.4564434089521817,0.27718708823708055
5.3,1.7132806069072812e-07,0.44044117163049923,0.24621670854740582
5.4,7.624394887456946e-08,0.4371888570074717,0.23378386800943832
5.5,4.050022572630608e-07,0.42214902735376747,0.24961438058230506
5.6,2.0750921248727152e-07,0.38034598031537714,0.2547362669363063
5.7,1.228735520975932e-06,0.380685485894756,0.27615491530598546
5.8,8.05814973398096e-07,0.4317962973026257,0.2851576417819557
5.9,5.968211540082599e-06,0.4114361947562625,0.2753120996940859
6.0,6.9829591032004845e-06,0.3872733746277883,0.25506210145565883
6.1,0.00011886013439880485,0.39808072440279074,0.24948780430540815
6.2,0.00019141841632791572,0.37644114085985686,0.2625833197619628
6.3,0.010725499504944239,0.35107754674636993,0.23762447630338668
6.4,0.010198481523571343,0.35731140726358646,0.2144850304927667
