state,sample_rate,selected_start_s,selected_end_s,phase_shift_s,phase_rad,segment_samples
no_audio,8000.000000,2.897500,3.097500,0.000609418,3.063270814,1600
without_object,8000.000000,1.758125,1.958125,-0.000046967,-0.236082556,1600
with_object,8000.000000,2.706875,2.906875,0.000145676,0.732246996,1600
