state,sample_rate,selected_start_s,selected_end_s,phase_shift_s,phase_rad,segment_samples
no_audio,8000.000000,2.801250,3.001250,0.000441233,2.217877232,1600
without_object,8000.000000,3.863750,4.063750,0.000262787,1.320913391,1600
with_object,8000.000000,2.133125,2.333125,0.000182749,0.918596225,1600
