metric,background_no_audio,without_object,with_object,without_div_background,with_div_without,with_div_background
centered_rms,0.05818653800216183,0.27342273988670984,0.2883468167534944,4.699072144085136,1.054582427463671,4.95555890853622
raw_target_amp,0.0008572266787896215,0.06963300124430523,0.0828817314431273,81.23055775938396,1.1902651036444531,96.68589825056988
filtered_rms,0.004138768776430279,0.05672692947712534,0.06916637919270792,13.706233071095307,1.2192864981454474,16.71182492402112
filtered_target_amp,0.0008572266489061349,0.0696330015137689,0.08288173140474266,81.23056090547836,1.1902650984871592,96.68590157632639
filtered_energy_ratio,0.005059379907396658,0.043043669831287865,0.05753866217557418,8.507696717607496,1.3367508486404682,11.372670807237547
window_filtered_target_amp_mean,0.004598890020191234,0.07581069559156109,0.08830550952740801,16.484563722706437,1.1648159779876468,19.201483214363982
window_filtered_target_amp_std,0.0033341543408866485,0.025660647230911687,0.04179403091594048,7.696298553500008,1.628720840119495,12.535121845866989
