metric,background_no_audio,without_object,with_object,without_div_background,with_div_without,with_div_background
centered_rms,0.0,0.18307536564533428,0.2324265599115872,inf,1.2695676400387987,inf
raw_target_amp,0.0,0.0665060717672227,0.07471420143525806,inf,1.1234192525573388,inf
filtered_rms,0.0,0.06041306370631682,0.08727754305307572,inf,1.4446799698382113,inf
filtered_target_amp,0.0,0.06650607153299802,0.0747142015159822,inf,1.1234192577276434,inf
filtered_energy_ratio,0.0,0.10889348588737861,0.1410046760543445,inf,1.2948862358963913,inf
window_filtered_target_amp_mean,0.0,0.06886207198492585,0.09901535148584999,inf,1.43787935262135,inf
window_filtered_target_amp_std,0.0,0.027161477920531734,0.04004195255633806,inf,1.4742184749111091,inf
