state,sample_rate,selected_start_s,selected_end_s,phase_shift_s,phase_rad,segment_samples
no_audio,10000.000000,1.538000,1.738000,-0.000439120,-2.759070074,2000
without_object,10000.000000,2.115000,2.315000,-0.000116718,-0.733361851,2000
with_object,10000.000000,1.936500,2.136500,0.000047079,0.295809019,2000
