state,sample_rate,selected_start_s,selected_end_s,phase_shift_s,phase_rad,segment_samples
no_audio,10000.000000,2.086500,2.286500,-0.000158510,-0.995946482,2000
without_object,10000.000000,2.785500,2.985500,0.000493482,3.100640730,2000
with_object,10000.000000,2.236000,2.436000,0.000140053,0.879978833,2000
