time_s,raw_adc,centered_adc,filtered_100hz_adc
0.0,15.0,-0.003284329058493185,3.5390754609117975e-05
0.001,15.0,-0.003284329058493185,-0.0001232129813806634
0.002,15.0,-0.003284329058493185,-0.00040259734898826253
0.003,15.0,-0.003284329058493185,-0.0006258398249721903
0.004,15.0,-0.003284329058493185,-0.0006084075950616945
0.005,15.0,-0.003284329058493185,-0.00027052277705879284
0.006,15.0,-0.003284329058493185,0.00030019504441338747
0.007,15.0,-0.003284329058493185,0.0008721629503384152
0.008,15.0,-0.003284329058493185,0.0011721066941325724
0.009,15.0,-0.003284329058493185,0.0010182963399757324
0.01,15.0,-0.003284329058493185,0.00041942553986656434
0.011,15.0,-0.003284329058493185,-0.0004116402097822154
0.012,15.0,-0.003284329058493185,-0.0011402976128009883
0.013,15.0,-0.003284329058493185,-0.0014539915024452308
0.014,15.0,-0.003284329058493185,-0.0012024729287053353
0.015,15.0,-0.003284329058493185,-0.00046984633358767826
0.016,15.0,-0.003284329058493185,0.0004558045535865587
0.017,15.0,-0.003284329058493185,0.0012029163484138352
0.018,15.0,-0.003284329058493185,0.001473893607243125
0.019,15.0,-0.003284329058493185,0.0011698984276395162
0.02,15.0,-0.003284329058493185,0.0004286601785896562
0.021,15.0,-0.003284329058493185,-0.000439497734317055
0.022,15.0,-0.003284329058493185,-0.001086912971100201
0.023,15.0,-0.003284329058493185,-0.0012741801335527452
0.024,15.0,-0.003284329058493185,-0.0009628612590958119
0.025,15.0,-0.003284329058493185,-0.00031800681908173713
0.026,15.0,-0.003284329058493185,0.0003754563865233226
0.027,15.0,-0.003284329058493185,0.0008408886564111676
0.028,15.0,-0.003284329058493185,0.0009240771378349935
0.029,15.0,-0.003284329058493185,0.0006448995240283885
0.03,15.0,-0.003284329058493185,0.0001692088469208804
0.031,15.0,-0.003284329058493185,-0.0002795461233769183
0.032,15.0,-0.003284329058493185,-0.0005240625840989616
0.033,15.0,-0.003284329058493185,-0.0005042845295878494
0.034,15.0,-0.003284329058493185,-0.00028697426658729505
0.035,15.0,-0.003284329058493185,-1.582996038074047e-05
0.036,15.0,-0.003284329058493185,0.00016821122541262805
0.037,15.0,-0.003284329058493185,0.00019539045389844318
0.038,15.0,-0.003284329058493185,9.21542191396489e-05
0.039,15.0,-0.003284329058493185,-4.553890053573059e-05
0.04,15.0,-0.003284329058493185,-0.00011276849353450549
0.041,15.0,-0.003284329058493185,-5.64473894228809e-05
