label,selected_start_s,selected_end_s,selected_center_s,selected_window_target_amp,segment_samples
no_audio,1.1,1.3,1.2000000000000002,0.010272931799016114,200
without_object,5.6,5.8,5.699999999999999,0.2015442015394648,200
with_object,8.0,8.2,8.1,0.007452550135203311,200
