frequency_hz,raw_amplitude,filtered_amplitude,band_mask
0.0,0.004848030588163518,1.1032206851746994e-13,0.0
0.02425006668768339,0.009158737194065712,2.206430556119926e-13,0.0
0.04850013337536678,0.012009816384342117,2.2064461947708918e-13,0.0
0.07275020006305016,0.00733287866990087,2.206456052050972e-13,0.0
0.09700026675073356,0.0018794685599354535,2.2064700299802344e-13,0.0
0.12125033343841696,0.007719189532184579,2.2064993187552081e-13,0.0
0.14550040012610033,0.007947701036162777,2.2065270129420285e-13,0.0
0.16975046681378372,0.005577790304535997,2.206557053941892e-13,0.0
0.19400053350146712,0.003488431461240445,2.20660604761388e-13,0.0
0.21825060018915052,0.0014007994544846922,2.2066472450972324e-13,0.0
0.24250066687683391,0.0018318670773877323,2.206688718221973e-13,0.0
0.2667507335645173,0.0035264948291394912,2.2067471377267617e-13,0.0
0.29100080025220065,0.0014711721578773334,2.2068084743061002e-13,0.0
0.3152508669398841,0.006605456490252841,2.2068721447605416e-13,0.0
0.33950093362756745,0.007355860487850653,2.2069428859661343e-13,0.0
0.36375100031525087,0.005499985677645894,2.2070137204452082e-13,0.0
0.38800106700293424,0.004273074533941297,2.2070989006353345e-13,0.0
0.4122511336906176,0.003209602429877806,2.2071871599579743e-13,0.0
0.43650120037830104,0.0017713333866310962,2.2072714231121704e-13,0.0
0.4607512670659844,0.0011235703060321653,2.207369976307997e-13,0.0
0.48500133375366783,0.0017982379426435774,2.207475460295599e-13,0.0
0.5092514004413512,0.0009307735662802511,2.207581929057786e-13,0.0
0.5335014671290346,0.004698285893965485,2.207694595283509e-13,0.0
0.5577515338167179,0.003516202860339709,2.2078061918909217e-13,0.0
0.5820016005044013,0.0018259745653576311,2.207927083213054e-13,0.0
0.6062516671920848,0.0030848898089701655,2.208058490180851e-13,0.0
0.6305017338797682,0.00433383375715194,2.2081909521275342e-13,0.0
0.6547518005674515,0.00465865722304555,2.2083308650313636e-13,0.0
0.6790018672551349,0.006420400945063346,2.2084683964995205e-13,0.0
0.7032519339428183,0.0062462579075006205,2.2086189950151578e-13,0.0
0.7275020006305017,0.004853969304286813,2.208771127489905e-13,0.0
0.7517520673181851,0.0046080167248801285,2.2089295263951346e-13,0.0
0.7760021340058685,0.006112751760805864,2.2090936408391448e-13,0.0
0.8002522006935519,0.006357422320829168,2.209265586035196e-13,0.0
0.8245022673812352,0.002112008219493338,2.2094316587681225e-13,0.0
0.8487523340689187,0.001065950192948982,2.2096185276541924e-13,0.0
0.8730024007566021,0.001378451183746811,2.2098017263453374e-13,0.0
0.8972524674442854,0.0019411302580622661,2.2099892000234498e-13,0.0
0.9215025341319688,0.001461124472451188,2.2101840645240703e-13,0.0
0.9457526008196522,0.0003928591251985264,2.2103827374678724e-13,0.0
0.9700026675073357,0.002351306153875554,2.2105929669456988e-13,0.0
0.994252734195019,0.004791363060624063,2.2107976556448348e-13,0.0
1.0185028008827024,0.003540235928045145,2.2110120157088267e-13,0.0
1.0427528675703859,0.0030410349161024133,2.2112329011578446e-13,0.0
1.0670029342580691,0.00392938969337946,2.21146637871659e-13,0.0
1.0912530009457526,0.003997034585306256,2.2116852559041211e-13,0.0
1.1155030676334359,0.003614952769499648,2.211928028531595e-13,0.0
1.1397531343211194,0.0034261692146616706,2.212175523598276e-13,0.0
1.1640032010088026,0.0019229009819301205,2.2124164635832127e-13,0.0
1.188253267696486,0.0002669794012433203,2.2126684891388194e-13,0.0
1.2125033343841696,0.0007371844634738031,2.2129206167167915e-13,0.0
1.2367534010718528,0.0037585863026424623,2.2131895997471343e-13,0.0
1.2610034677595363,0.005870740130379233,2.213453652529637e-13,0.0
1.2852535344472196,0.006604344962685481,2.2137317085817092e-13,0.0
1.309503601134903,0.00562645722208694,2.2140021594764e-13,0.0
1.3337536678225865,0.004027223104350707,2.2142850900444895e-13,0.0
1.3580037345102698,0.003189746390751772,2.2145812228972288e-13,0.0
1.3822538011979533,0.002274542945394176,2.2148593333909242e-13,0.0
1.4065038678856365,0.0029980104485349194,2.2151707699827126e-13,0.0
1.43075393457332,0.004187108673707837,2.2154644171994014e-13,0.0
1.4550040012610035,0.0034049107489473344,2.215780552745417e-13,0.0
1.4792540679486867,0.002197370646348356,2.216089163435564e-13,0.0
1.5035041346363702,0.0019175386553407104,2.2164108247207284e-13,0.0
1.5277542013240535,0.0017842493414297713,2.2167361763882025e-13,0.0
1.552004268011737,0.0037513425181975365,2.217061348921769e-13,0.0
1.5762543346994204,0.004114533953169967,2.2174013809400984e-13,0.0
1.6005044013871037,0.0029779411824210926,2.2177358242478847e-13,0.0
1.6247544680747872,0.002028737080113334,2.2180844354264823e-13,0.0
1.6490045347624704,0.0020271311657565246,2.2184316028373795e-13,0.0
1.673254601450154,0.003882015607310143,2.2187823899412023e-13,0.0
1.6975046681378374,0.004202431822244033,2.219150552437262e-13,0.0
1.7217547348255207,0.003701257807302356,2.219511754874023e-13,0.0
1.7460048015132041,0.0041756666979097514,2.2198787706018753e-13,0.0
1.7702548682008874,0.003542738158491358,2.2202626479337764e-13,0.0
1.7945049348885709,0.00390898940740065,2.2206299606314306e-13,0.0
1.8187550015762544,0.003634948899461687,2.2210321029504178e-13,0.0
1.8430050682639376,0.00629607161053457,2.2214083802691963e-13,0.0
1.867255134951621,0.003691494615669755,2.221810349000668e-13,0.0
1.8915052016393044,0.001696673178068204,2.222212074981127e-13,0.0
1.9157552683269878,0.0026003077748496498,2.222617263986182e-13,0.0
1.9400053350146713,0.002566559343045119,2.2230329730528152e-13,0.0
1.9642554017023546,0.004116681581468627,2.2234425732894747e-13,0.0
1.988505468390038,0.002892821644133421,2.223867055536957e-13,0.0
2.0127555350777215,0.0016223654093324546,2.22429737995177e-13,0.0
2.037005601765405,0.0008834034495468462,2.2247276432244607e-13,0.0
2.061255668453088,0.00036797187959776174,2.225170401267475e-13,0.0
2.0855057351407718,0.0035643402227324076,2.2255977511144568e-13,0.0
2.109755801828455,0.0035560720211735525,2.226054395005906e-13,0.0
2.1340058685161383,0.0017057890869558714,2.2265047714339305e-13,0.0
2.1582559352038215,0.0019329644235595528,2.2269632841287011e-13,0.0
2.1825060018915052,0.0005707128602396152,2.2274309849578247e-13,0.0
2.2067560685791885,0.0024472382413455052,2.2278844130673734e-13,0.0
2.2310061352668717,0.0027260274530179775,2.2283741309748184e-13,0.0
2.2552562019545555,0.0011808279064594968,2.2288440921104196e-13,0.0
2.2795062686422387,0.0004882839510838724,2.2293287699867668e-13,0.0
2.303756335329922,0.00195450319831947,2.229820726315801e-13,0.0
2.3280064020176052,0.004202221470701004,2.2303081573091234e-13,0.0
2.352256468705289,0.004672310151096127,2.2308073810582532e-13,0.0
2.376506535392972,0.005648092834537234,2.2313118906553413e-13,0.0
2.4007566020806554,0.004995225856032043,2.231822360847449e-13,0.0
2.425006668768339,0.0012000074549701172,2.2323305432741337e-13,0.0
2.4492567354560224,0.0021599508396830413,2.2328562510795338e-13,0.0
2.4735068021437057,0.001814094747307712,2.2333740596732251e-13,0.0
2.4977568688313894,0.0013426123594361598,2.2339045734966989e-13,0.0
2.5220069355190726,0.0029901387132894937,2.2344404947530336e-13,0.0
2.546257002206756,0.002400595107031019,2.2349780162511029e-13,0.0
2.570507068894439,0.0026604292909191782,2.2355233417071368e-13,0.0
2.594757135582123,0.005667445310112817,2.2360762975474855e-13,0.0
2.619007202269806,0.006169335255779114,2.2366185954643426e-13,0.0
2.6432572689574894,0.0045731566004235235,2.2371953280065935e-13,0.0
2.667507335645173,0.002567274104329059,2.237748223527518e-13,0.0
2.6917574023328563,0.0018934180310729261,2.2383221849042567e-13,0.0
2.7160074690205396,0.002453236705691039,2.2388914084751585e-13,0.0
2.7402575357082233,0.0015645377164584405,2.2394771305045372e-13,0.0
2.7645076023959065,0.0017176208027853681,2.240059872622088e-13,0.0
2.78875766908359,0.0033591372461558677,2.240650160447189e-13,0.0
2.813007735771273,0.0020075226560603864,2.241242960749978e-13,0.0
2.8372578024589568,0.0026884794045586823,2.2418408036302032e-13,0.0
2.86150786914664,0.0026593282306744005,2.2424519359076877e-13,0.0
2.8857579358343233,0.0019367979146026346,2.243057272071285e-13,0.0
2.910008002522007,0.004195052198194211,2.2436786322236204e-13,0.0
2.9342580692096902,0.005053477767444453,2.244288661412377e-13,0.0
2.9585081358973735,0.0025864287160539227,2.2449371364347169e-13,0.0
2.982758202585057,0.002270380805709099,2.245534054464434e-13,0.0
3.0070082692727405,0.0027042714215953444,2.2461990211376817e-13,0.0
3.0312583359604237,0.0005127395901900837,2.2468212955035059e-13,0.0
3.055508402648107,0.003732368746011828,2.2474668537346537e-13,0.0
3.0797584693357907,0.0033420710302087147,2.2481279942144664e-13,0.0
3.104008536023474,0.00151106841251403,2.2487752850249648e-13,0.0
3.128258602711157,0.0010362813074906339,2.2494381487202768e-13,0.0
3.152508669398841,0.0017588943226273007,2.2501055117830006e-13,0.0
3.176758736086524,0.003742174651616783,2.2507798102575126e-13,0.0
3.2010088027742074,0.0021491382990574885,2.2514439128383277e-13,0.0
3.2252588694618907,0.0007435986662176843,2.2521401973616017e-13,0.0
3.2495089361495744,0.001817553500030566,2.252814815926281e-13,0.0
3.2737590028372576,0.0021151815907715066,2.2535082579031313e-13,0.0
3.298009069524941,0.001957376161482685,2.2542072095088971e-13,0.0
3.3222591362126246,0.0024957870036858894,2.2549017112268005e-13,0.0
3.346509202900308,0.00033951083669893367,2.2556099368660314e-13,0.0
3.370759269587991,0.0007347345422030988,2.2563238112399186e-13,0.0
3.395009336275675,0.0035831084053666337,2.2570381480833673e-13,0.0
3.419259402963358,0.005454318713578962,2.2577522980661443e-13,0.0
3.4435094696510413,0.005438888787228653,2.2584793896768408e-13,0.0
3.4677595363387246,0.004128147919245547,2.2592172129937804e-13,0.0
3.4920096030264083,0.002910614533985575,2.2599476305660102e-13,0.0
3.5162596697140915,0.0033029073803838493,2.2606918768136606e-13,0.0
3.540509736401775,0.004151899626570969,2.261430026799672e-13,0.0
3.5647598030894585,0.00397886025123304,2.26219349033262e-13,0.0
3.5890098697771418,0.004756593524910523,2.2629337075849907e-13,0.0
3.613259936464825,0.004152429738871417,2.2637110864612674e-13,0.0
3.6375100031525087,0.0026570053197098424,2.264474250582066e-13,0.0
3.661760069840192,0.0015561929396484962,2.2652091557052977e-13,0.0
3.6860101365278752,0.0017186552242013965,2.2660322637506492e-13,0.0
3.7102602032155585,0.000695864174635187,2.2667965550503564e-13,0.0
3.734510269903242,0.0011791608017061438,2.2675693398534344e-13,0.0
3.7587603365909255,0.0014479282771417633,2.26837515062223e-13,0.0
3.7830104032786087,0.0021775157088107246,2.2691605177646869e-13,0.0
3.8072604699662924,0.004185733125314993,2.2699611227828378e-13,0.0
3.8315105366539757,0.0055841814581294134,2.2707718451580828e-13,0.0
3.855760603341659,0.005302312499700035,2.2715753453034408e-13,0.0
3.8800106700293426,0.0038201021785293364,2.272398686603027e-13,0.0
3.904260736717026,0.004674708658626114,2.2732073744766614e-13,0.0
3.928510803404709,0.0061656886248196915,2.274045079041257e-13,0.0
3.9527608700923924,0.0037328517039454134,2.274872604016579e-13,0.0
3.977010936780076,0.0003218105559316324,2.2757006638142223e-13,0.0
4.001261003467759,0.0008696253235251898,2.276546210769996e-13,0.0
4.025511070155443,0.00012746723677964898,2.2773903895495435e-13,0.0
4.049761136843126,0.0028169359216309465,2.2782403608536277e-13,0.0
4.07401120353081,0.004033591097439684,2.2790866483663793e-13,0.0
4.098261270218493,0.003467405400767538,2.279959929283236e-13,0.0
4.122511336906176,0.0034328540143884556,2.2808167289206696e-13,0.0
4.146761403593859,0.0032934735383525525,2.281688476300323e-13,0.0
4.1710114702815435,0.0033747224791858274,2.2825558793754765e-13,0.0
4.195261536969227,0.003540016445795962,2.2834387301690504e-13,0.0
4.21951160365691,0.0023820182371415205,2.2843287058022244e-13,0.0
4.243761670344593,0.0024336819558081996,2.2852125759512047e-13,0.0
4.2680117370322765,0.0027145161517249964,2.286102831810592e-13,0.0
4.29226180371996,0.003774046423254484,2.287005283724293e-13,0.0
4.316511870407643,0.0026387764865349684,2.287912084057679e-13,0.0
4.340761937095327,0.0032963513435655067,2.2888167125336664e-13,0.0
4.3650120037830105,0.003961068659933062,2.289730668462034e-13,0.0
4.389262070470694,0.001759731427282159,2.2906477934970867e-13,0.0
4.413512137158377,0.0018922930534641831,2.2915774354169333e-13,0.0
4.43776220384606,0.0038561109080010743,2.2924937603193523e-13,0.0
4.4620122705337435,0.0038750817650952973,2.293437002325462e-13,0.0
4.486262337221427,0.0022871083696524284,2.294371486200139e-13,0.0
4.510512403909111,0.002101618457936459,2.2953111027596197e-13,0.0
4.534762470596794,0.0033892506363801134,2.2962593201261865e-13,0.0
4.559012537284477,0.003570201666123164,2.297219145327116e-13,0.0
4.583262603972161,0.0021166789483828058,2.298172057418211e-13,0.0
4.607512670659844,0.0010925679418862522,2.299132439776101e-13,0.0
4.631762737347527,0.001035918321811711,2.3000936860243473e-13,0.0
4.6560128040352105,0.0015656945432579517,2.301073745843415e-13,0.0
4.680262870722895,0.0023708919742169935,2.3020455164665515e-13,0.0
4.704512937410578,0.0031548851111060107,2.3030263180334273e-13,0.0
4.728763004098261,0.003618489084120417,2.304015610253364e-13,0.0
4.753013070785944,0.002455517488028652,2.3050086041542536e-13,0.0
4.777263137473628,0.0019345329473448975,2.306002194923697e-13,0.0
4.801513204161311,0.0025550875936659763,2.307004245814131e-13,0.0
4.825763270848995,0.003431234656166764,2.3080077116843345e-13,0.0
4.850013337536678,0.00387553371291597,2.3090194842682094e-13,0.0
4.8742634042243616,0.0027121194066505876,2.310032714532495e-13,0.0
4.898513470912045,0.002276239630701271,2.311049238060403e-13,0.0
4.922763537599728,0.0026343706312338365,2.3120884135052834e-13,0.0
4.947013604287411,0.003993708820372675,2.313101463154607e-13,0.0
4.971263670975095,0.0034046743517774807,2.314146467183804e-13,0.0
4.995513737662779,0.00023233395589560568,2.3151804022900156e-13,0.0
5.019763804350462,0.002121569146099672,2.316224457312455e-13,0.0
5.044013871038145,0.002064993648629103,2.3172772281631246e-13,0.0
5.0682639377258285,0.002451100595854453,2.318328248942689e-13,0.0
5.092514004413512,0.0032540639974607283,2.3193871051286784e-13,0.0
5.116764071101195,0.0036134255505479228,2.3204518858075116e-13,0.0
5.141014137788878,0.002677228429311327,2.3215178516128995e-13,0.0
5.165264204476562,0.0008180125853517251,2.322591785733073e-13,0.0
5.189514271164246,0.0018681781216703137,2.323665724117606e-13,0.0
5.213764337851929,0.0014292566737956383,2.3247548017176e-13,0.0
5.238014404539612,0.0012696963769614471,2.32583563728975e-13,0.0
5.2622644712272955,0.0017636889888065132,2.3269301013315133e-13,0.0
5.286514537914979,0.001892072837839041,2.3280291103478737e-13,0.0
5.310764604602663,0.0021265942749134877,2.3291253045019194e-13,0.0
5.335014671290346,0.002529935162029376,2.3302331340979906e-13,0.0
5.359264737978029,0.002132565415161046,2.3313485891835517e-13,0.0
5.383514804665713,0.0021621845961034077,2.3324562314831196e-13,0.0
5.407764871353396,0.0024294189052669344,2.333581965633081e-13,0.0
5.432014938041079,0.002179403922595823,2.3347041249109726e-13,0.0
5.456265004728762,0.001810355756467449,2.3358290331293874e-13,0.0
5.480515071416447,0.001605125693093436,2.336974362523887e-13,0.0
5.50476513810413,0.002020948372236094,2.3381094180453065e-13,0.0
5.529015204791813,0.0012466379681448966,2.339248506368581e-13,0.0
5.553265271479496,0.0013821109574590385,2.340408139302955e-13,0.0
5.57751533816718,0.0023809801699323668,2.3415530048290015e-13,0.0
5.601765404854863,0.002924467018208562,2.342713950046619e-13,0.0
5.626015471542546,0.0025945103684581975,2.3438720080011334e-13,0.0
5.65026553823023,0.003933993234036579,2.34504359505136e-13,0.0
5.6745156049179135,0.003663228584677373,2.3462159969940015e-13,0.0
5.698765671605597,0.0018042184365636214,2.3473902985629757e-13,0.0
5.72301573829328,0.002248719728026269,2.348569715275249e-13,0.0
5.747265804980963,0.002649844236261706,2.3497615817014674e-13,0.0
5.7715158716686465,0.003082340395934109,2.3509470558322003e-13,0.0
5.79576593835633,0.002334704155526389,2.3521484648238914e-13,0.0
5.820016005044014,0.001707283848204843,2.353338995051761e-13,0.0
5.844266071731697,0.0011118943464722647,2.354547734201561e-13,0.0
5.8685161384193805,0.0011690384443292824,2.355762833554086e-13,0.0
5.892766205107064,0.0014350760878082942,2.3569761387151007e-13,0.0
5.917016271794747,0.0019780396813973136,2.3581853948332446e-13,0.0
5.94126633848243,0.001324121777199394,2.3594223124758447e-13,0.0
5.965516405170114,0.0017911485475778832,2.360649694053481e-13,0.0
