label,selected_start_s,selected_end_s,selected_center_s,selected_window_target_amp,segment_samples
no_audio,20.9,21.1,21.0,6.773870981591287e-07,200
without_object,10.2,10.4,10.3,0.3010286756567907,200
with_object,3.3,3.5,3.4,0.18071813096535294,200
