state,sample_rate,selected_start_s,selected_end_s,phase_shift_s,phase_rad,segment_samples
no_audio,4000.000000,1.547500,1.747500,0.000000000,0.000000000,800
without_object,4000.000000,5.412500,5.612500,0.000556765,1.399301835,800
with_object,4000.000000,6.853750,7.053750,0.000319241,0.802340124,800
