metric,background_no_audio,without_object,with_object,without_div_background,with_div_without,with_div_background
centered_rms,0.0,0.3665011469486152,0.39191706032442514,inf,1.0693474320269272,inf
raw_target_amp,0.0,0.2568564882252305,0.34722813491365717,inf,1.3518371185125844,inf
filtered_rms,0.0,0.1978852052196597,0.2512452266417953,inf,1.269651393912466,inf
filtered_target_amp,0.0,0.25685648840060477,0.34722813513798667,inf,1.3518371184629538,inf
filtered_energy_ratio,0.0,0.2915251148293885,0.4109673320559533,inf,1.4097150164796846,inf
window_filtered_target_amp_mean,0.0,0.27061371554663904,0.3508771550886833,inf,1.2965978253537973,inf
window_filtered_target_amp_std,0.0,0.03472389265503469,0.03643536805204721,inf,1.049288120258152,inf
