state,sample_rate_hz,selected_start_s,selected_end_s,selected_center_s,target_amp,phase_rad,phase_shift_s,segment_samples
no_audio,9000.000000,1.340000,1.540000,1.440000,0.001026620394,-2.544018141447,0.000000000000,1800
without_object,9000.000000,2.021111,2.221111,2.121111,0.185456578107,-1.257780506309,0.000277979983,1800
with_object,9000.000000,2.026111,2.226111,2.126111,0.053743631578,-2.575274682774,0.000510964106,1800
