state,sample_rate,selected_start_s,selected_end_s,phase_shift_s,phase_rad,segment_samples
no_audio,5000.000000,4.889000,5.089000,0.000000000,0.000000000,1000
without_object,5000.000000,5.306000,5.506000,0.000438469,1.377491630,1000
with_object,5000.000000,2.792000,2.992000,0.000400965,1.259669940,1000
