state,sample_rate_hz,selected_start_s,selected_end_s,selected_center_s,target_amp,phase_rad,phase_shift_s,segment_samples
no_audio,2000.000000,1.400000,1.600000,1.500000,0.000001288951,-1.884765882448,0.000000000000,400
without_object,2000.000000,1.755000,1.955000,1.855000,0.003088029533,1.915291924641,-0.001274140886,400
with_object,2000.000000,2.322500,2.522500,2.422500,0.017196542954,2.009022782471,-0.001348729533,400
