label,selected_start_s,selected_end_s,selected_center_s,selected_window_target_amp,segment_samples
no_audio,2.95,3.15,3.05,0.0007887065726191011,1600
without_object,2.45,2.65,2.55,0.24330838594771687,1600
with_object,2.55,2.75,2.65,0.02829164240970176,1600
