state,sample_rate_hz,selected_start_s,selected_end_s,selected_center_s,target_amp,phase_rad,phase_shift_s,segment_samples
no_audio,5000.000000,1.524000,1.534000,1.529000,0.000000002822,-1.269516514703,0.000000000000,50
without_object,5000.000000,6.012000,6.022000,6.017000,0.509436801838,-1.949600538702,-0.000279422874,50
with_object,5000.000000,5.186000,5.196000,5.191000,0.132279884179,-0.268167713316,-0.000814639566,50
